ts,event,agent_id,age,role,subpop,risk_score,access_level,clinic_id,dose_num,status
0.2,ELIGIBLE,0.0,22.0,teacher,C,3.8813333053535377,3.0,-1,1,eligible
0.2,ELIGIBLE,2.0,65.0,other,A,8.184255188441405,2.0,-1,1,eligible
0.2,ELIGIBLE,3.0,32.0,healthcare,B,6.697131938675472,1.0,-1,1,eligible
0.2,ELIGIBLE,4.0,48.0,teacher,C,5.060118310279666,3.0,-1,1,eligible
0.2,ELIGIBLE,6.0,39.0,teacher,C,5.1080179573989675,1.0,-1,1,eligible
0.2,ELIGIBLE,8.0,52.0,healthcare,B,8.465343402211902,1.0,-1,1,eligible
0.2,ELIGIBLE,9.0,48.0,healthcare,B,7.098683071778067,1.0,-1,1,eligible
0.2,ELIGIBLE,12.0,36.0,healthcare,B,7.464280857771449,3.0,-1,1,eligible
0.2,ELIGIBLE,14.0,22.0,healthcare,B,5.699888561132499,3.0,-1,1,eligible
0.2,ELIGIBLE,15.0,52.0,teacher,C,4.871367987419044,1.0,-1,1,eligible
0.2,ELIGIBLE,17.0,67.0,other,A,7.976409977826547,3.0,-1,1,eligible
0.2,ELIGIBLE,18.0,35.0,healthcare,B,9.389371861881289,1.0,-1,1,eligible
0.2,ELIGIBLE,19.0,48.0,healthcare,B,4.861699480351854,3.0,-1,1,eligible
0.2,ELIGIBLE,20.0,36.0,teacher,C,6.677208226683699,1.0,-1,1,eligible
0.2,ELIGIBLE,22.0,38.0,teacher,C,6.261290447366356,1.0,-1,1,eligible
0.2,ELIGIBLE,23.0,30.0,teacher,C,4.390695762920223,1.0,-1,1,eligible
0.2,ELIGIBLE,24.0,33.0,teacher,C,3.2199249668355443,1.0,-1,1,eligible
0.2,ELIGIBLE,26.0,47.0,healthcare,B,4.390354571221264,1.0,-1,1,eligible
0.2,ELIGIBLE,27.0,71.0,other,A,8.930848339355792,1.0,-1,1,eligible
0.2,ELIGIBLE,28.0,80.0,other,A,7.550005316033727,2.0,-1,1,eligible
0.2,ELIGIBLE,30.0,66.0,other,A,8.70568526809135,2.0,-1,1,eligible
0.2,ELIGIBLE,32.0,39.0,healthcare,B,8.77920664502148,1.0,-1,1,eligible
0.2,ELIGIBLE,33.0,23.0,healthcare,B,6.789641192343128,3.0,-1,1,eligible
0.2,ELIGIBLE,34.0,36.0,healthcare,B,9.304713371121757,3.0,-1,1,eligible
0.2,ELIGIBLE,37.0,32.0,teacher,C,3.7729471171621567,1.0,-1,1,eligible
0.2,ELIGIBLE,38.0,60.0,teacher,C,6.420957184775009,3.0,-1,1,eligible
0.2,ELIGIBLE,39.0,41.0,healthcare,B,5.18133875686285,3.0,-1,1,eligible
0.2,ELIGIBLE,40.0,43.0,teacher,C,5.02282932328578,3.0,-1,1,eligible
0.2,ELIGIBLE,42.0,66.0,other,A,10.0,2.0,-1,1,eligible
0.2,ELIGIBLE,45.0,71.0,other,A,9.485926715019694,2.0,-1,1,eligible
0.2,ELIGIBLE,46.0,26.0,healthcare,B,5.791428648095885,3.0,-1,1,eligible
0.2,ELIGIBLE,47.0,30.0,teacher,C,6.371109773583251,1.0,-1,1,eligible
0.2,ELIGIBLE,49.0,46.0,teacher,C,6.038292919637395,3.0,-1,1,eligible
0.2,ELIGIBLE,51.0,31.0,teacher,C,5.910907091295984,1.0,-1,1,eligible
0.2,ELIGIBLE,52.0,32.0,teacher,C,4.936539984539329,1.0,-1,1,eligible
0.2,ELIGIBLE,53.0,36.0,healthcare,B,4.820116229249576,1.0,-1,1,eligible
0.2,ELIGIBLE,54.0,80.0,other,A,9.056184705909285,2.0,-1,1,eligible
0.2,ELIGIBLE,55.0,70.0,other,A,10.0,1.0,-1,1,eligible
0.2,ELIGIBLE,56.0,45.0,healthcare,B,7.385067283024036,3.0,-1,1,eligible
0.2,ELIGIBLE,59.0,31.0,healthcare,B,6.3779128968720595,3.0,-1,1,eligible
0.2,ELIGIBLE,61.0,55.0,healthcare,B,6.153062084744823,3.0,-1,1,eligible
